Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
297.171,1326.188,205.874,1124.119,1804.759,2789.071,1915.996,1920.87,2936.448
282.438,1270.478,202.589,1079.479,1810.386,2767.484,1908.24,1912.897,2826.686
316.615,1175.695,215.883,1038.574,1761.48,2666.507,1799.482,1804.045,2591.361
423.276,1177.479,258.466,1024.908,1880.943,2778.788,1921.785,1925.975,2422.68
630.259,1411.944,358.793,1105.64,1852.416,2755.878,1806.994,1811.159,2436.16
948.548,1945.773,512.176,1311.462,1913.599,2801.398,1985.97,1990.374,2688.715
1049.161,2097.492,530.775,1333.346,1838.031,2701.97,1778.179,1782.582,2719.243
974.792,1869.897,511.78,1243.872,1772.897,2593.465,1716.818,1720.95,2451.897
920.057,1840.296,484.124,1257.162,1913.221,2793.644,1924.822,1929.078,2577.956
629.379,1381.568,349.152,1070.683,1742.467,2594.02,1862.535,1866.56,2329.299
395.202,1122.324,232.923,1016.134,1663.628,2591.466,1921.956,1926.194,2442.409
323.172,1210.467,205.722,1087.086,1701.304,2677.827,1869.364,1874.018,2749.836
295.444,1467.885,201.505,1175.514,1751.528,2734.893,1928.803,1933.614,3134.628
292.198,1455.698,196.982,1164.244,1794.659,2775.806,1935.748,1940.582,3116.742
305.207,1230.303,198.514,1032.172,1807.346,2673.065,1881.483,1885.888,2628.879
407.855,1188.637,241.005,1038.57,1933.728,2835.212,1925.577,1930.047,2484.3
633.136,1448.114,344.403,1114.094,1905.63,2815.253,1907.328,1911.667,2498.63
915.18,1900.925,473.433,1284.766,1918.593,2829.752,2005.391,2009.89,2712.737
1190.852,2341.904,609.165,1443.088,2038.919,2931.488,1872.109,1876.784,2882.22
1051.467,1982.767,553.53,1289.003,1872.179,2681.875,1794.284,1798.498,2480.682
827.057,1708.91,453.943,1234.261,1886.496,2777.396,1949.654,1954.092,2557.508
553.874,1308.67,320.101,1073.526,1802.589,2680.117,1923.469,1927.673,2389.952
403.17,1168.493,242.78,1049.9,1756.943,2710.079,1963.532,1967.951,2530
302.71,1280.656,209.561,1155.114,1772.481,2783.023,1943.784,1948.788,2939.045
275.669,1441.037,204.48,1184.238,1815.097,2792.118,1973.195,1978.222,3127.173
280.327,1371.345,200.158,1168.786,1856.282,2868.588,2064.188,2069.175,3076.939
285.83,1178.574,194.846,1047.28,1843.752,2760.146,1899.076,1903.581,2666.078
389.676,1169.459,243.451,1062.609,1928.498,2867.165,1976.576,1981.137,2542.169
566.447,1353.297,327.575,1115.701,1859.14,2786.976,1899.306,1903.787,2507.293
850.003,1802.854,457.017,1276.567,1958.893,2880.897,2050.822,2055.432,2699.016
1028.891,2087.71,540.118,1378.955,1931.629,2828.319,1930.548,1935.084,2798.883
960.21,1867.027,521.721,1282.263,1824.274,2653.636,1798.089,1802.263,2500.895
787.365,1659.635,438.607,1246.918,1897.582,2807.902,2033.302,2037.697,2595.295
589.658,1337.888,341.68,1116.774,1845.4,2738.666,1919.431,1923.613,2420.771
415.827,1216.793,257.37,1103.473,1849.676,2822.14,2013.347,2017.785,2623.97
306.989,1256.587,204.454,1137.745,1816.851,2804.623,2033.538,2038.241,2875.365
271.293,1494.524,197.054,1260.308,1869.388,2888.653,1979.126,1984.222,3310.846
260.806,1593.848,201.419,1284.173,1929.738,2977.575,2057.91,2063.096,3468.818
281.91,1264.351,204.565,1100.245,1899.199,2799.254,1974.909,1979.644,2782.912
375.286,1193.992,248.141,1125.173,1938.519,2879.932,2029.636,2034.248,2641.763
673.313,1525.024,396.498,1231.786,1922.288,2837.931,1983.283,1987.801,2607.161
982.898,2025.096,548.919,1423.772,1993.524,2923.711,2042.732,2047.364,2851.871
1172.45,2360.113,605.481,1483.063,2046.256,2952.553,1984.184,1988.694,2976.053
1057.035,2074.385,559.512,1375.364,1883.405,2756.669,1902.454,1906.704,2710.716
912.159,1867.533,491.53,1333.552,2019.268,2951.015,2045.642,2049.95,2733.451
647.999,1457.257,371.094,1164.674,1855.668,2746.874,1998.96,2003.115,2498.199
430.91,1307.598,258.456,1176.779,1872.857,2892.031,2088.976,2093.638,2818.848
314.877,1352.374,206.255,1187.625,1889.422,2899.163,2006.725,2011.443,3033.326
273.128,1498.558,197.781,1246.571,1899.277,2922.282,2088.028,2092.904,3302.101
271.785,1472.285,196.126,1254.853,1963.807,2996.359,2142.976,2147.911,3296.713
294.056,1265.879,198.916,1128.425,1869.065,2806.888,1945.802,1950.598,2843.951
419.64,1251.343,258.983,1150.564,2098.291,3076.259,2141.226,2145.758,2705.786
709.203,1585.844,400.812,1263.496,1998.079,2951.739,1997.453,2001.908,2697.44
961.326,2003.324,528.618,1411.293,2013.227,2952.408,2042.038,2046.559,2868.374
1140.688,2297.663,603.171,1526.831,2098.732,3014.248,1988.38,1992.845,3000.615
952.42,1880.265,524.54,1330.496,1872.752,2713.103,1869.364,1873.402,2578.19
788.591,1693.385,456.724,1329.049,1984.405,2909.561,2059.671,2063.87,2706.475
599.112,1388.353,357.156,1196.166,1966.169,2880.86,2065.03,2069.13,2547.041
431.927,1243.872,280.125,1187.322,1942.997,2935.632,2113.605,2118.007,2716.18
307.741,1268.436,228.398,1241.802,1880.338,2906.262,2049.335,2054.017,3004.705
272.8,1556.227,221.399,1369.906,1955.188,2995.859,2166.099,2171.238,3477.746
266.344,1485.087,216.192,1304.223,1961.765,3003.847,2114.617,2119.568,3353.807
278.238,1299.844,217.088,1222.398,1911.427,2883.227,2007.092,2011.9,3003.522
390.461,1297.096,269.047,1230.45,2072.772,3033.085,2117.78,2122.471,2833.043
665.055,1543.166,394.616,1281.734,1968.437,2905.351,2023.939,2028.354,2706.556
937.324,2008.955,527.147,1464.78,2070.035,3014.372,2121.993,2126.495,2958.102
1013.548,2130.876,558.247,1486.869,2042.784,2946.389,2049.734,2054.198,2954.019
867.119,1770.686,487.554,1316.154,1833.079,2699.082,1867.182,1871.07,2602.058
832.571,1793.397,464.565,1385.501,1959.679,2908.178,2089.947,2094.313,2834.626
557.547,1362.054,336.113,1206.868,1894.938,2813.01,2137.183,2141.274,2597.424
370.479,1286.09,249.12,1265.76,1874.691,2934.094,2093.272,2097.981,2996.362
290.691,1439.549,209.679,1318.056,1812.521,2864.596,2091.824,2096.738,3314.226
266.17,1679.462,213.722,1406.004,1939.423,2976.622,2210.475,2215.436,3647.734
255.129,1616.22,216.415,1397.249,1975.823,3035.089,2173.593,2178.677,3606.275
